Name,Sale Price (PKR),Regular Price (PKR),Category,Description,Image URL,Product URL
5-Piece Baby Dinnerware Set - BPA-Free Divided Plate (Blue Bear / Pink Rabbit),1999,,Infant Essentials > Tableware & Utensils,5-piece BPA-free divided plate dinnerware set for babies. Available in Blue Bear and Pink Rabbit.,https://zimysonline.com/cdn/shop/files/1_839410fb-3ddb-4b85-92e6-7a561fa46033.jpg,https://zimysonline.com/products/5-piece-kids-dinnerware-set-bpa-free-divided-plate-table-ware
5-Piece Baby Grooming & Care Set (BPA Free),999,1499,Infant Essentials > Grooming & Accessories,5-piece BPA-free baby grooming and care set. Available in Pink and Blue.,https://zimysonline.com/cdn/shop/files/Untitleddesign_4_0af6a1ac-e48b-4e46-acb5-fc5ee0daa197.jpg,https://zimysonline.com/products/5-piece-baby-grooming-care-set-0-months
5-Piece Eco-Friendly Bamboo Fibre Kids Dinnerware Set,2499,3499,Infant Essentials > Tableware & Utensils,5-piece eco-friendly bamboo fibre kids dinnerware set. Available in multiple character designs.,https://zimysonline.com/cdn/shop/files/4_59c1cc44-1f62-44d9-b638-abc997f56155.jpg,https://zimysonline.com/products/5-piece-eco-friendly-bamboo-fibre-kids-dinnerware-set
5-Piece Kids Dinnerware Set - BPA-Free Divided Plate,1199,1699,Infant Essentials > Tableware & Utensils,5-piece BPA-free divided plate dinnerware set for kids. Available in Blue and Pink. (Sold out),https://zimysonline.com/cdn/shop/files/1.png,https://zimysonline.com/products/5-piece-kids-dinnerware-set-bpa-free-divided-plate-tableware-for-kids
5-Piece Kids Divided Plate Dinnerware Set - Cute Chicken,2499,3900,Infant Essentials > Tableware & Utensils,5-piece divided plate dinnerware set in cute chicken design. Available in Yellow / Blue / Pink.,https://zimysonline.com/cdn/shop/files/3_e20ad50c-8645-45e7-a914-44e1cdb04048.jpg,https://zimysonline.com/products/5-piece-kids-divided-plate-dinnerware-set-cute-chicken
6-Pair Baby Socks - Pink Bows,1499,2199,Footwear > Socks,Pack of 6 pairs baby cotton socks in pink bows design. (Sold out),https://zimysonline.com/cdn/shop/files/products_1_bd2f5b07-124d-474c-ba15-065b5fe94660.jpg,https://zimysonline.com/products/3-pair-baby-socks-baby-cotton-socks-pink-bows
6-Piece Baby Washcloth Set,599,699,Infant Essentials > Towels & Washcloths,6-piece ultra-soft baby washcloth set for newborn bath time.,https://zimysonline.com/cdn/shop/files/WhatsAppImage2025-07-03at16.51.49_e1ee70ed.jpg,https://zimysonline.com/products/kidzo-8-piece-baby-washcloth-set-ultra-soft-towels-for-newborn-bath-time
7 PC Hooded Towel & Washcloth Set - Beige Fox,1799,2099,Infant Essentials > Towels & Washcloths,7-piece hooded towel and washcloth set in beige fox design.,https://zimysonline.com/cdn/shop/files/Untitled_design_1_93f339f6-96d8-44bf-9566-5dd79403c070.jpg,https://zimysonline.com/products/7-pc-hooded-towel-washcloth-set-beige-fox-copy
7 PC Hooded Towel & Washcloth Set - Blue Elephant,1799,2099,Infant Essentials > Towels & Washcloths,7-piece hooded towel and washcloth set in blue elephant design. (Sold out),https://zimysonline.com/cdn/shop/files/Untitled_design_4e290cc0-6f92-4a69-bf3d-39c6048a7492.jpg,https://zimysonline.com/products/7-pc-hooded-towel-washcloth-set-baby-bath-set-blue-elephant
7 PC Hooded Towel & Washcloth Set - Grey Dolphin,1799,2099,Infant Essentials > Towels & Washcloths,7-piece hooded towel and washcloth set in grey dolphin design.,https://zimysonline.com/cdn/shop/files/Untitled_design_5_f4408a49-992b-4ae7-93c2-4aabf1784101.jpg,https://zimysonline.com/products/7-pc-hooded-towel-washcloth-set-pink-whiskers-copy-1
7 PC Hooded Towel & Washcloth Set - Pink Whiskers,1799,2099,Infant Essentials > Towels & Washcloths,7-piece hooded towel and washcloth set in pink whiskers design.,https://zimysonline.com/cdn/shop/files/Untitled_design_3_ad25cad3-ef4b-40f8-a46c-3ba1fc1cfc74.jpg,https://zimysonline.com/products/7-pc-hooded-towel-washcloth-set-pink-whiskers-copy
Adjustable Food-Grade Silicone Bib - Blue Character,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in blue character design.,https://zimysonline.com/cdn/shop/files/7_815e6e85-0fbd-45c7-8ae7-b14c86efa7a6.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-blue-character
Adjustable Food-Grade Silicone Bib - Dusty Rose,999,1999,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in dusty rose.,https://zimysonline.com/cdn/shop/files/products_5.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-dusty-rose
Adjustable Food-Grade Silicone Bib - Feed Me,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with 'Feed Me' print.,https://zimysonline.com/cdn/shop/files/1_680ea088-6c12-46d5-9cc8-859dc1d222b9.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-feed-me
Adjustable Food-Grade Silicone Bib - Friday Strawberry,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Friday strawberry print.,https://zimysonline.com/cdn/shop/files/6_b462a1b4-6bd3-40f3-8717-ea96f3fafbcc.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-friday-strawberry
Adjustable Food-Grade Silicone Bib - Green Character,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in green character design.,https://zimysonline.com/cdn/shop/files/6_c3cef562-fec8-41bd-a412-af30d6528bd7.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-green-character
Adjustable Food-Grade Silicone Bib - Honey Yellow,999,1999,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in honey yellow.,https://zimysonline.com/cdn/shop/files/1_b325e791-3702-41fa-b1b6-0adf56533752.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-honey-yellow
Adjustable Food-Grade Silicone Bib - Monday Tomatos,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Monday tomatoes print.,https://zimysonline.com/cdn/shop/files/2_20be68ef-37b7-4dcf-850d-8a566cbeb875.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-monday
Adjustable Food-Grade Silicone Bib - Olive Green,999,1999,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in olive green.,https://zimysonline.com/cdn/shop/files/products_6.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-olive-green
Adjustable Food-Grade Silicone Bib - Sage Green,999,1999,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in sage green.,https://zimysonline.com/cdn/shop/files/4_baf99932-abd4-4c5b-94ce-a6183ef4962a.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-sage-green
Adjustable Food-Grade Silicone Bib - Saturday Ice-Cream,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Saturday ice-cream print.,https://zimysonline.com/cdn/shop/files/7_e5ec2928-98f2-4ff5-bb69-0251152c87c8.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-saturday-ice-cream
Adjustable Food-Grade Silicone Bib - Sunday Chicken,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Sunday chicken print.,https://zimysonline.com/cdn/shop/files/8_9137c800-f6f5-449c-ba84-2a67119c1a7f.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-sunday-chiken
Adjustable Food-Grade Silicone Bib - Thursday Milk,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Thursday milk print.,https://zimysonline.com/cdn/shop/files/5_2caf6dc7-02ba-4b74-be9c-f1bad97cd631.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-thursday-milk
Adjustable Food-Grade Silicone Bib - Tuesday Fish,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Tuesday fish print.,https://zimysonline.com/cdn/shop/files/3_25721629-ac9c-4a6b-98a5-effed931767c.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-tuesday-fish
Adjustable Food-Grade Silicone Bib - Wednesday Cake,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib with Wednesday cake print.,https://zimysonline.com/cdn/shop/files/4_2179ceed-4562-484f-ad35-c6a21ccef7fb.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-wednesday-cake
Adjustable Food-Grade Silicone Bib - Yellow Character,1199,2099,Infant Essentials > Bibs,Adjustable BPA-free food-grade silicone bib in yellow character design.,https://zimysonline.com/cdn/shop/files/5_c89987a6-9b72-4945-8573-0bc15f754135.jpg,https://zimysonline.com/products/adjustable-food-grade-silicone-bib-bpa-free-honey-yellow-copy
Adorable Bear Soft Plush Baby Head Shaping Pillow - Beige,1299,1399,Infant Essentials > Pillows,Soft plush baby head shaping pillow in adorable bear design (beige). (Sold out),https://zimysonline.com/cdn/shop/files/1_b06d577f-ca31-45fd-8067-813b19e8f327.jpg,https://zimysonline.com/products/adorable-red-bear-soft-plush-baby-head-shaping-pillow-copy
Adorable Horse Plush Cushion - Baby Head Shaping Pillow,999,1399,Infant Essentials > Pillows,Adorable horse plush cushion baby head shaping pillow. Available in Pink / Yellow / Blue.,https://zimysonline.com/cdn/shop/files/3a45bb84-0378-46de-8820-2588268e06b6.jpg,https://zimysonline.com/products/adorable-horse-plush-cushion-baby-head-shaping-pillow
Adorable Red Bear Soft Plush Baby Head Shaping Pillow,1299,1399,Infant Essentials > Pillows,Soft plush baby head shaping pillow in adorable red bear design.,https://zimysonline.com/cdn/shop/files/38d0038d-b5ef-444e-a548-da523bd35090.jpg,https://zimysonline.com/products/adorable-red-bear-soft-plush-baby-head-shaping-pillow
All the Cuddles Bodysuit - Yellow,799,1199,Clothing > Bodysuits,Single bodysuit in yellow with all the cuddles print. Sizes 0-3 to 18-24 months.,https://zimysonline.com/cdn/shop/files/AllTheCuddleBodysuit.jpg,https://zimysonline.com/products/all-the-cuddles-bodysuit-yellow
Anchor Adventures Bodysuit - Blue,899,1299,Clothing > Bodysuits,Single bodysuit in blue with anchor adventures print. Sizes 0-3 to 18-24 months.,https://zimysonline.com/cdn/shop/files/AnchorBodysuit.jpg,https://zimysonline.com/products/anchor-adventures-bodysuit-blue
Baby Bath Thermometer (0+ Months),899,1499,Infant Essentials > Grooming & Accessories,Baby bath thermometer suitable from 0+ months. Available in Blue and Pink.,https://zimysonline.com/cdn/shop/files/Untitled_design_18.jpg,https://zimysonline.com/products/baby-bath-thermometer-0-months
Baby Bib Apron Large 6-12M (Pack of 3),700,980,Infant Essentials > Bibs,Pack of 3 large baby bib aprons for 6-12 months.,https://zimysonline.com/cdn/shop/files/93_2bf722cd-3571-4aa4-b574-ca555ff642e9.jpg,https://zimysonline.com/products/baby-bib-apron-large-6-12m
Baby Bib Apron Small (Pack of 3),699,999,Infant Essentials > Bibs,Pack of 3 small baby bib aprons for 0-3 months.,https://zimysonline.com/cdn/shop/files/261.jpg,https://zimysonline.com/products/baby-bib-apron-pack-of-3-small-0-3m
Baby Booties - Infant Soft Socks (Beige Cat),999,1499,Footwear > Shoes,Soft infant booties / socks in beige cat design. Free size.,https://zimysonline.com/cdn/shop/files/1_59d74d52-19a6-44f6-9255-fa98e954ce12.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-rainbow-bunny-copy
Baby Booties - Infant Soft Socks (Blue Bear),999,1499,Footwear > Shoes,Soft infant booties / socks in blue bear design. Free size.,https://zimysonline.com/cdn/shop/files/products_1.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-golden-ear-teddy-copy
Baby Booties - Infant Soft Socks (Blue Car),999,1499,Footwear > Shoes,Soft infant booties / socks in blue car design. Free size. (Sold out),https://zimysonline.com/cdn/shop/files/40_738c8ac3-6926-4c25-8d0e-dc52bbb17085.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-blue-car
Baby Booties - Infant Soft Socks (Blue Panda),999,1499,Footwear > Shoes,Soft infant booties / socks in blue panda design. Free size.,https://zimysonline.com/cdn/shop/files/5_73393d6b-db05-4d6f-8af6-4b009a16791b.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-beige-stripes-teddy-copy
Baby Booties - Infant Soft Socks (Blush Bear),999,1499,Footwear > Shoes,Soft infant booties / socks in blush bear design. Free size.,https://zimysonline.com/cdn/shop/files/15_0a6c6ba3-65a0-4d29-98cc-96219dd65349.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-purple-star-copy
Baby Booties - Infant Soft Socks (Blush Bunny),999,1499,Footwear > Shoes,Soft infant booties / socks in blush bunny design. Free size.,https://zimysonline.com/cdn/shop/files/5_914ada39-ac43-4d3c-8f45-379a72964073.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-blush-bear-copy
Baby Booties - Infant Soft Socks (Green Blue Bear),999,1499,Footwear > Shoes,Soft infant booties / socks in green blue bear design. Free size.,https://zimysonline.com/cdn/shop/files/13_1e7ca8d3-e205-4bd5-87b3-7314673cbe03.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-grey-stripes-cat-copy
Baby Booties - Infant Soft Socks (Green Crocodile),999,1499,Footwear > Shoes,Soft infant booties / socks in green crocodile design. Free size.,https://zimysonline.com/cdn/shop/files/42_c6f1ad8f-85d1-4d45-8d3e-4024f24ad387.jpg,https://zimysonline.com/products/baby-booties-infant-soft-socks-pink-butterfly-copy
